AZ commands

awk 'BEGIN { IGNORECASE = 1 } /[regex]/'	, awk
awk 'END {print NR}'			, awk
awk '/[regex]/{ sum++ } END { print sum }'	, awk
awk 'BEGIN { print strftime("%d-%m-%Y %H:%M:%S", systime()) }'	, awk
awk -v i=1 'BEGIN{while (i<ARGC) print ARGV[i++]}' [arg]...		, awk
awk 'BEGIN { print ENVIRON["PATH"] }'	, awk
awk 'BEGIN { print PROCINFO["pid"] }'	, awk
awk 'BEGIN{FS=":"; OFS="|"}'		, awk

TAR commands

tar [options] [archive_file [file or directory to be archived], tar
tar -tf archive_filename		, tar
tar --list -f archive_filename		 tar
tar -v [options] archive_filename		, tar
tar -cf archive_filename *		, tar
tar -xf archive_filename 		, tar
tar --extract -f archive_filename 		, tar
tar --get -f archive_filename 		, tar
tar -rf archive_filename file_to_be_added	, tar
tar -Af archive_file archive_files_to_be_added	, tar
tar --delete -f archive_file files_to_be_deleted	, tar
tar -df archive_file file_name		ar
tar --diff -f archive_file file_name		, tar
tar --compare -f archive_file file_name	, tar
tar -uf archive_file files_to_be_added_added, tar
tar -xf archive_file -C directory_path	, tar
tar -xf archive_file --directory=DIR	, tar
tar -czf file.tar.gz files_to_be_archived 	, tar
tar -cjf file.tar.bz2 files_to_be_archived=FILE 	, tar
tar -Rtf archive_file			, tar


PS commands

ps -A		, ps
ps -a		, ps
ps -e		, ps
ps -ef		, ps
ps -x		, ps
ps -ax		, ps
ps f		, ps
ps -F		, ps
ps u		, ps
ps v		, ps
ps h		, ps
ps --header	, ps
ps --forest		, ps
ps -L		, ps
ps s		, ps
ps -M		, ps
ps -u user[name or id], ps
ps -G group[name or id]	, ps
ps -g group_id,group_name	, ps
ps p process_ID		, ps
ps t tty_name		, ps



TOP commands

top -b 		, top
top -d num		, top
top -n num		, top
top -p num		, top
top -u username	, top
top -u userID	, top
top -w num	, top



